"year","total_count","us_counts","us_percent"
2017,285604,132641,46.4422767188135
2016,687560,278341,40.4824306242364
2015,874084,365375,41.80090243043
2014,868382,368742,42.463109553169
2013,854099,365655,42.8117817723707
2012,811154,349069,43.0336286327874
2011,769217,330678,42.9889095014801
2010,734764,315425,42.9287499115362
2009,707515,306624,43.3381624417857
2008,685655,299254,43.6449818057186
2007,657260,287604,43.7580257432371
2006,634207,282078,44.4772763466818
2005,609461,273825,44.9290438600665
2004,578651,260542,45.0257581858495
2003,548839,249022,45.3725045049641
2002,521255,236713,45.4121303392773
2001,505542,231327,45.7582159345811
2000,485460,222146,45.7598978288633
1999,459772,210597,45.8046597008952
1998,446834,203907,45.6337252760533
1997,432077,198110,45.8506238471384
1996,421813,192374,45.606465424252
1995,416466,190980,45.8572848683926
1994,407262,185126,45.4562419278008
1993,398052,178330,44.8006793082311
1992,391744,173185,44.2087179382454
1991,388680,167718,43.1506637851189
1990,388017,163381,42.1066602751941
1989,381180,156464,41.0472742536335
1988,365393,150142,41.0905518168109
1987,347808,141366,40.6448385316036
1986,330327,133702,40.4756498863248
1985,317963,127129,39.9823249874985
1984,307828,122989,39.953805371831
1983,299903,118637,39.5584572345058
1982,285132,112962,39.6174403434199
1981,274408,106735,38.8964607445847
1980,272433,104749,38.4494536271303
1979,274118,103766,37.8545006165228
1978,265469,97144,36.5933498826605
1977,255746,91963,35.9587246721356
1976,249184,87383,35.0676608449981
1975,244114,83186,34.076701868799
1974,229813,77390,33.6752054931618
1973,225868,74277,32.8851364513787
1972,222240,69806,31.4101871850252
1971,217576,66685,30.6490605581498
1970,212359,64161,30.2134592835717
1969,210581,63696,30.2477431487171
1968,203761,60903,29.8894292823455
1967,186901,55923,29.9211882226419
1966,175217,53490,30.5278597396371
1965,173145,52444,30.2890640792399
1964,158944,48282,30.3767364606402
1963,137746,NA,NA
1962,122648,NA,NA
1961,117004,NA,NA
1960,108862,NA,NA
1959,107790,NA,NA
1958,107653,NA,NA
1957,109811,NA,NA
1956,105228,NA,NA
1955,106759,NA,NA
1954,104003,NA,NA
1953,107669,NA,NA
1952,106844,NA,NA
1951,102575,NA,NA
1950,84099,NA,NA
1949,60931,NA,NA
1948,68711,NA,NA
1947,62887,NA,NA
