"query_term","year","count","total_count","freq"
"necessary and sufficient",1947,0,65010,0
"necessary and sufficient",1948,0,70724,0
"necessary and sufficient",1949,0,62784,0
"necessary and sufficient",1950,1,85742,0.00116628956637354
"necessary and sufficient",1951,1,103785,0.000963530375295081
"necessary and sufficient",1952,0,108145,0
"necessary and sufficient",1953,0,108897,0
"necessary and sufficient",1954,0,105910,0
"necessary and sufficient",1955,1,108532,0.000921387240629492
"necessary and sufficient",1956,0,107015,0
"necessary and sufficient",1957,2,111529,0.00179325556581696
"necessary and sufficient",1958,2,109469,0.00182700125149586
"necessary and sufficient",1959,0,109982,0
"necessary and sufficient",1960,3,112169,0.00267453574517023
"necessary and sufficient",1961,0,120125,0
"necessary and sufficient",1962,4,125695,0.0031823063765464
"necessary and sufficient",1963,2,141435,0.00141407713790787
"necessary and sufficient",1964,4,162042,0.00246849582207082
"necessary and sufficient",1965,3,176678,0.00169800427897078
"necessary and sufficient",1966,7,180110,0.00388651379712398
"necessary and sufficient",1967,9,191955,0.00468859889036493
"necessary and sufficient",1968,8,208050,0.00384522951213651
"necessary and sufficient",1969,16,215256,0.00743300999739845
"necessary and sufficient",1970,13,219356,0.00592643921296887
"necessary and sufficient",1971,13,223605,0.0058138234833747
"necessary and sufficient",1972,17,227803,0.0074625882890041
"necessary and sufficient",1973,19,231079,0.00822229627097226
"necessary and sufficient",1974,16,235052,0.00680700440753535
"necessary and sufficient",1975,112,249157,0.0449515767166887
"necessary and sufficient",1976,142,254907,0.0557065910312388
"necessary and sufficient",1977,114,261998,0.0435117825326911
"necessary and sufficient",1978,110,272345,0.0403899465751161
"necessary and sufficient",1979,134,281854,0.0475423446181356
"necessary and sufficient",1980,126,280435,0.0449301977285289
"necessary and sufficient",1981,152,283345,0.0536448499179446
"necessary and sufficient",1982,179,295334,0.0606093439969661
"necessary and sufficient",1983,211,309194,0.0682419451865172
"necessary and sufficient",1984,252,317944,0.0792592406209899
"necessary and sufficient",1985,231,334940,0.0689675762823192
"necessary and sufficient",1986,300,349317,0.0858818780649095
"necessary and sufficient",1987,286,367600,0.0778019586507073
"necessary and sufficient",1988,323,386623,0.0835439174596442
"necessary and sufficient",1989,421,402327,0.104641249530854
"necessary and sufficient",1990,434,410500,0.105724725943971
"necessary and sufficient",1991,486,412805,0.117731132132605
"necessary and sufficient",1992,511,417538,0.122384070431913
"necessary and sufficient",1993,515,427015,0.120604662599674
"necessary and sufficient",1994,621,437944,0.141798951464114
"necessary and sufficient",1995,706,448684,0.157349047436503
"necessary and sufficient",1996,720,458171,0.157146567547924
"necessary and sufficient",1997,744,455682,0.16327175530304
"necessary and sufficient",1998,829,473763,0.174982005770818
"necessary and sufficient",1999,883,492933,0.179131849561705
"necessary and sufficient",2000,875,529502,0.165249611899483
"necessary and sufficient",2001,981,542241,0.180915865823499
"necessary and sufficient",2002,932,556853,0.167369126142806
"necessary and sufficient",2003,989,580543,0.170357751277683
"necessary and sufficient",2004,991,614924,0.161158126857953
"necessary and sufficient",2005,1049,647433,0.162024487475924
"necessary and sufficient",2006,1023,673623,0.151865360891775
"necessary and sufficient",2007,1046,693557,0.150816731717797
"necessary and sufficient",2008,1084,724886,0.149540755373948
